sample	GCF_000350225.1_ASM35022v2_genomic	moss_0.001_1	moss_0.001_2	moss_0.001_4	moss_0.001_8	moss_0.003_1	moss_0.003_2	moss_0.003_4	moss_0.003_8	moss_0.005_1	moss_0.005_2	moss_0.005_4	moss_0.005_8	moss_0.007_1	moss_0.007_2	moss_0.007_4	moss_0.007_8	moss_0.01_1	moss_0.01_2	moss_0.01_4	moss_0.01_8	moss_0.1_1	moss_0.1_2	moss_0.1_4	moss_0.1_8	moss_0.2_1	moss_0.2_2	moss_0.2_4	moss_0.2_8	moss_genome_1	moss_genome_2	moss_genome_4	moss_genome_8
moss_0.005_2	0.005355816029888105	0.004660029372459795	0.004546597943004604	0.004027779154296973	0.006450149293804719	0.006485289905867719	0.006718837187011384	0.0061937620629021195	0.00834550172797599	0	0.0	0	0	0.00983754458830921	0.01039189314442357	0.010347900276931554	0.012240612970310205	0.012266467369496659	0.013217313160969524	0.013451225788525423	0.015006743819278356	0.08621463883160663	0.08886177366610415	0.08983062210197634	0.09036090448352219	0.17894053158730738	0.17814658284318052	0.17777094114040182	0.18133422619566375	0.003842209813825659	0.0035224114609448964	0.002745503994901477	0.005406517303142122
moss_0.005_4	0.005789993566674534	0.004983327826703188	0.004715907518201057	0.004267938588051856	0.006295533784379637	0.006496407381639702	0.00659886053146419	0.006354723640811133	0.008177309813495404	0	0	0.0	0	0.009889312888895385	0.010199389594842012	0.010465584594518296	0.011912572151298706	0.012213384754353851	0.01295907423602427	0.013381439513778903	0.014637129179305597	0.08599223005505496	0.08873311349318636	0.08926206043280982	0.09028507793959606	0.17768421640058218	0.17683119462344565	0.17754275211674453	0.17875497219774528	0.004105444397398128	0.0036944609070925782	0.003119405516102347	0.005305624966773004
moss_0.005_8	0.00637716119153231	0.006994872236313565	0.006278932984389196	0.005488205578637384	0.007738644793648053	0.00872417419864091	0.008484243389403456	0.00773433433547599	0.009786493059317558	0.000618593872461437	0	0	0.0	0.012465083550786016	0.012317579847925919	0.012185153122278636	0.013934281713651853	0.014861278102893838	0.015313258837635457	0.015306210964334377	0.016794748939761184	0.09052688489093308	0.09259937619868674	0.0940175043090915	0.09397658014869403	0.18368282567594663	0.1829459575471235	0.18434724848168382	0.18684874231061566	0.006010931357766203	0.005148681283822176	0.004180337662104017	0.006649949354501028
moss_0.007_1	0.007129948964725408	0.005334996630349642	0.006167675832656538	0.0053784511397192425	0.008566536278166947	0.00720935086986263	0.008274869178328093	0.00782172023577754	0.01063042869608044	0.008969161327709196	0.00983754458830921	0.009889312888895385	0.012465083550786016	0.0	0	0	0.0005406045332631004	0.013259046005185682	0.014429433526067958	0.01480523616190621	0.01700595477166522	0.08566146409473963	0.08699534372815176	0.08836761239919999	0.08890961400832753	0.17681610937892567	0.17708502328005338	0.1787246001545909	0.18153322706397634	0.004599385331055528	0.0048044975746651675	0.004138741342234797	0.0075277436037218814
moss_0.007_2	0.007530887903018368	0.0068568163384743475	0.006527835115233804	0.005924117356446712	0.008529830807192273	0.008432673288318426	0.008595156184860064	0.00809947028838598	0.010476856225464903	0.010171982428537452	0.01039189314442357	0.010199389594842012	0.012317579847925919	0	0.0	0	0	0.014093551735683274	0.015037988911468902	0.015298244044044229	0.016924597646564288	0.08702417269092699	0.08956736942050592	0.08993259245302976	0.09073527809385007	0.1795769738936036	0.17782631250436265	0.18038521330036317	0.1803674054922798	0.005875487905035226	0.005444704942891843	0.004711179670997545	0.0075249237309303885
moss_0.007_4	0.008024096707755168	0.007087608529098399	0.006730268509713033	0.006269797205658012	0.00846175659138304	0.008688710583119374	0.00862159170029686	0.008383660719631036	0.010418145908847487	0.010507902242873901	0.010347900276931554	0.010465584594518296	0.012185153122278636	0	0	0.0	0	0.01423679028001168	0.01493243415859502	0.01526331680387838	0.01660279860595104	0.08642984035160062	0.08905934998385623	0.08990285405954912	0.09043844520964972	0.18015149957888277	0.17661885229964358	0.17891250813730508	0.1806758871099643	0.0061111908561386485	0.005630629109912744	0.005094120270613622	0.007470956558779718
moss_0.007_8	0.008601537400218406	0.009054268712486935	0.008315217505668882	0.007364985168917482	0.009847248334148628	0.010813327474392342	0.010436348359576408	0.00974761053501072	0.011941390066317115	0.01276457584353663	0.012240612970310205	0.011912572151298706	0.013934281713651853	0.0005406045332631004	0	0	0.0	0.016807517322079413	0.017135788406776098	0.01708276753409499	0.018656634500835767	0.09088693162238315	0.09364729575300268	0.0944949216898423	0.09474132510180111	0.1841231794591477	0.18294368430810037	0.18324193736643302	0.18652062660655644	0.008193202781142328	0.007082863975535925	0.0061382092005071165	0.008793043375359577
moss_0.01_1	0.00977084595792621	0.007835707220007482	0.008334448477521184	0.007775597648561838	0.011066600276003924	0.009619859686220922	0.010622234885778958	0.01012501832971302	0.013043746555300939	0.011551374251097868	0.012266467369496659	0.012213384754353851	0.014861278102893838	0.013259046005185682	0.014093551735683274	0.01423679028001168	0.016807517322079413	0.0	0	0	0.00035556015405335817	0.08577434870196532	0.08762787202377376	0.08913659516893624	0.08935994632273825	0.17674984378677638	0.17896145731526858	0.18185353310946628	0.18321014379334877	0.007359748407867128	0.00725358909449525	0.0065995561143931125	0.010067394040966904
moss_0.01_2	0.010662973971598544	0.00966879981672819	0.009311099121182775	0.008679269480650564	0.011519140960275953	0.011222642978903963	0.011417886141926292	0.01081538636359336	0.01345733775442659	0.012990055699615088	0.013217313160969524	0.01295907423602427	0.015313258837635457	0.014429433526067958	0.015037988911468902	0.01493243415859502	0.017135788406776098	0	0.0	0	0	0.0886858790998376	0.09043848223248929	0.09112543563881526	0.0919416792739095	0.18025954853379111	0.1792284915761262	0.18186281262194337	0.18343063811963178	0.008866293204343623	0.008453492992288036	0.007503679467157132	0.010538757645329522
moss_0.01_4	0.011293317431091299	0.010028971372730067	0.009714101310984935	0.009224007738139473	0.011605796508260324	0.011491520237361219	0.011659790351334798	0.011310682458122279	0.013476801335889688	0.01334494470280656	0.013451225788525423	0.013381439513778903	0.015306210964334377	0.01480523616190621	0.015298244044044229	0.01526331680387838	0.01708276753409499	0	0	0.0	0	0.08805410093399146	0.09015415351538514	0.09108244421847445	0.09190764199935597	0.18164527888035054	0.17648450703415963	0.17795580496638885	0.1792113853131061	0.009382373086703422	0.008762897490025234	0.008011858721688858	0.010681329380362148
moss_0.01_8	0.011686623747589331	0.011777616736052376	0.011061456990347551	0.010125489973521251	0.012864537622604977	0.01345377211637333	0.013156567857709356	0.01236637469500057	0.014811700248335113	0.015362518890041255	0.015006743819278356	0.014637129179305597	0.016794748939761184	0.01700595477166522	0.016924597646564288	0.01660279860595104	0.018656634500835767	0.00035556015405335817	0	0	0.0	0.09234699414113423	0.09409717695213093	0.09504996747727268	0.09549032986951123	0.18707165380728608	0.18407945975306028	0.1851536155611645	0.18853536604309684	0.011137584670312006	0.0100264300597529	0.008833161738427964	0.01181361197163111
moss_0.1_1	0.08956689634579951	0.08365242758031766	0.08432730765112795	0.0825407532880913	0.08810850631274214	0.08343781563269936	0.08449735145052317	0.08464265414429584	0.0891070289655812	0.08452941951328896	0.08621463883160663	0.08599223005505496	0.09052688489093308	0.08566146409473963	0.08702417269092699	0.08642984035160062	0.09088693162238315	0.08577434870196532	0.0886858790998376	0.08805410093399146	0.09234699414113423	0.0	0.00010951155076643904	0.00015960080548871325	9.494364562345758e-05	0.20730957684131857	0.20786971566213808	0.2076562070670156	0.21055626289195706	0.08254342996830333	0.08358626902948918	0.08189462283239857	0.08787967342823566
moss_0.1_2	0.09198947831682502	0.08587572601279958	0.08619800036122283	0.0849450418669544	0.09012158961467864	0.08592740006973631	0.08676672186561152	0.08651913596597971	0.09118732159444676	0.08665604404184957	0.08886177366610415	0.08873311349318636	0.09259937619868674	0.08699534372815176	0.08956736942050592	0.08905934998385623	0.09364729575300268	0.08762787202377376	0.09043848223248929	0.09015415351538514	0.09409717695213093	0.00010951155076643904	0.0	0	0.00014636319937044728	0.2239121726936787	0.21787447845612284	0.2205468912321229	0.22125029097215998	0.08416209283992804	0.08590077344523428	0.08431148843719405	0.08993542842519142
moss_0.1_4	0.09367224817957998	0.08677520619626056	0.08735036537865903	0.08594606051519316	0.0912055086490996	0.0869590504748251	0.08822688764426867	0.08746432727455555	0.09245986826327868	0.08789803652506079	0.08983062210197634	0.08926206043280982	0.0940175043090915	0.08836761239919999	0.08993259245302976	0.08990285405954912	0.0944949216898423	0.08913659516893624	0.09112543563881526	0.09108244421847445	0.09504996747727268	0.00015960080548871325	0	0.0	0.00010293255611770746	0.2164383920821733	0.2205169767073184	0.21537654064383138	0.2176961860231582	0.0856313261495587	0.0870569681394765	0.08591183013829984	0.09116331537810918
moss_0.1_8	0.09313921512048806	0.08701273306708679	0.08763687537922116	0.0865102041243071	0.0913527329917847	0.08757631912899899	0.08836871396957813	0.08816759930077289	0.09279283488550627	0.08802231512135883	0.09036090448352219	0.09028507793959606	0.09397658014869403	0.08890961400832753	0.09073527809385007	0.09043844520964972	0.09474132510180111	0.08935994632273825	0.0919416792739095	0.09190764199935597	0.09549032986951123	9.494364562345758e-05	0.00014636319937044728	0.00010293255611770746	0.0	0.21782179404981628	0.22125745052999424	0.2177265855170768	0.21998058166294576	0.08621664034149734	0.0871359218199238	0.08591704047544035	0.09107253638826329
moss_0.2_1	0.18413679549874185	0.17397182543772882	0.17870304938072845	0.17932515139756033	0.18195226250989238	0.17744980343445727	0.18105819879723517	0.17583167920572362	0.18235900064671717	0.17849721712301292	0.17894053158730738	0.17768421640058218	0.18368282567594663	0.17681610937892567	0.1795769738936036	0.18015149957888277	0.1841231794591477	0.17674984378677638	0.18025954853379111	0.18164527888035054	0.18707165380728608	0.20730957684131857	0.2239121726936787	0.2164383920821733	0.21782179404981628	0.0	4.668773894955791e-05	2.178429616683797e-05	5.1311021989963734e-05	0.17547640190554492	0.17331699257750355	0.17583999966776298	0.18069569253672502
moss_0.2_2	0.18642404289379766	0.1763103384735344	0.18011093739371442	0.175086709866335	0.18332008063177296	0.1749348108700446	0.17764595954724038	0.17500040263363248	0.1844723767267349	0.174886887490603	0.17814658284318052	0.17683119462344565	0.1829459575471235	0.17708502328005338	0.17782631250436265	0.17661885229964358	0.18294368430810037	0.17896145731526858	0.1792284915761262	0.17648450703415963	0.18407945975306028	0.20786971566213808	0.21787447845612284	0.2205169767073184	0.22125745052999424	4.668773894955791e-05	0.0	0.00015455869011460344	0.0001607020211155108	0.17726087877260732	0.17502582711734327	0.17533180238514923	0.181853257960499
moss_0.2_4	0.18949203364181066	0.1798720902345129	0.18052674969813287	0.17785001597277017	0.18392922482265905	0.1803431930633873	0.18065856509940936	0.17508028612837911	0.18510158340704042	0.17826286679529635	0.17777094114040182	0.17754275211674453	0.18434724848168382	0.1787246001545909	0.18038521330036317	0.17891250813730508	0.18324193736643302	0.18185353310946628	0.18186281262194337	0.17795580496638885	0.1851536155611645	0.2076562070670156	0.2205468912321229	0.21537654064383138	0.2177265855170768	2.178429616683797e-05	0.00015455869011460344	0.0	7.647774544161656e-05	0.18096183102468566	0.1766727830021232	0.17731842426560862	0.18391715773207207
moss_0.2_8	0.1892213042011347	0.17965709453133272	0.18298185807402212	0.17888949808924104	0.1871794447039692	0.18038845181415886	0.18273738714725285	0.17720250430808682	0.18717914078053632	0.17955126211423966	0.18133422619566375	0.17875497219774528	0.18684874231061566	0.18153322706397634	0.1803674054922798	0.1806758871099643	0.18652062660655644	0.18321014379334877	0.18343063811963178	0.1792113853131061	0.18853536604309684	0.21055626289195706	0.22125029097215998	0.2176961860231582	0.21998058166294576	5.1311021989963734e-05	0.0001607020211155108	7.647774544161656e-05	0.0	0.18088461561440183	0.17826258991563282	0.1783996468222574	0.1852568726081062
