sample	GCA_003864495.1_NemNom1.0_genomic	nematode_0.001_1	nematode_0.001_2	nematode_0.001_4	nematode_0.001_8	nematode_0.003_1	nematode_0.003_2	nematode_0.003_4	nematode_0.003_8	nematode_0.005_1	nematode_0.005_2	nematode_0.005_4	nematode_0.005_8	nematode_0.007_1	nematode_0.007_2	nematode_0.007_4	nematode_0.007_8	nematode_0.01_1	nematode_0.01_2	nematode_0.01_4	nematode_0.01_8	nematode_0.1_1	nematode_0.1_2	nematode_0.1_4	nematode_0.1_8	nematode_0.2_1	nematode_0.2_2	nematode_0.2_4	nematode_0.2_8	nematode_genome_1	nematode_genome_2	nematode_genome_4	nematode_genome_8
nematode_0.005_2	0.004940919397800503	0.005139305567967156	0.004994513335432993	0.004744302330077721	0.005995256249690217	0.00704508700917994	0.0069809637199304	0.006923227885808014	0.007888939587939126	0	0.0	0	0	0.010713188135492269	0.010930396358423744	0.010854803535423896	0.011758670840581242	0.0134687876687839	0.013800946003803327	0.01382106218288126	0.014621646074896466	0.09481604374098873	0.09717970317765434	0.09624811112468712	0.09724362212774751	0.18417341733834225	0.19345972571514625	0.19424719041596528	0.1923720430313507	0.004208126240405674	0.004115710375102499	0.00371769780286757	0.004984776138047042
nematode_0.005_4	0.005076064254169843	0.005276445828330867	0.005102486555396246	0.004910726690266709	0.005852191088037473	0.00694172365766732	0.007026016382727929	0.006951797330876253	0.00777089654619012	0	0	0.0	0	0.010826720936933265	0.010927653743302845	0.010828624233003459	0.011602150840415937	0.013393867961985606	0.013744335776773253	0.01377351193641152	0.014480207563944858	0.09471138179359817	0.09700294115653851	0.0957741231631869	0.09698044810301987	0.18948476736299913	0.1958784692142843	0.19133333267447927	0.1936135032809192	0.004354391600393526	0.0040360902065667	0.003818532552719467	0.004884075835410617
nematode_0.005_8	0.005403554334735938	0.0063159837626615145	0.005904048981410948	0.005518877922630838	0.006531827243789867	0.008067510717432058	0.00791428065578259	0.007758765254607836	0.00852388644598534	0.0002421067540778754	0	0	0.0	0.011915725820374035	0.011945193287160816	0.011700136696839891	0.012458792680478448	0.014543313116557433	0.014758915078179058	0.014760190630363157	0.015419341245763607	0.09747741455627201	0.09921887472616864	0.0986534389893522	0.09952864597474487	0.18919036801481237	0.1973106676020122	0.19801746466794212	0.1961387158836453	0.005252463473438329	0.004882509622949005	0.004444369631490086	0.0055287609574492524
nematode_0.007_1	0.0068841495294406085	0.006905502342177461	0.006988158209433659	0.006778901526296899	0.008121764938150089	0.008283244100986131	0.009043630804706604	0.008950918804999208	0.010038713170692826	0.01037634793265485	0.010713188135492269	0.010826720936933265	0.011915725820374035	0.0	0	0	0.00029862004954961385	0.01500588194725394	0.015639268535440065	0.01563518065547398	0.016720146488755527	0.09457463675276412	0.09570443509328252	0.09576986362076179	0.09640739814347521	0.18043569299980233	0.19118989564441136	0.19170731028017074	0.19063987342653643	0.005766858872336189	0.006046215066142335	0.005704680115168004	0.007060992567978541
nematode_0.007_2	0.007245451979072781	0.007283745260317276	0.00716848835745254	0.006864921409368674	0.00823788391937974	0.009126836404049654	0.009167682377095865	0.009006930395275892	0.010150672288727902	0.010823583534913861	0.010930396358423744	0.010927653743302845	0.011945193287160816	0	0.0	0	7.722810227484e-05	0.015689879239796922	0.015785974185341	0.015905502066565602	0.016791944542974946	0.09571777794123926	0.09725227391806768	0.09650032501729322	0.09788250372686713	0.18899882479933505	0.19738260498843796	0.19429057410966288	0.19462979509269962	0.006522845888545459	0.006204359001700133	0.005846934534826209	0.0072552721402019404
nematode_0.007_4	0.007284779574474931	0.007400015594303921	0.007238446326542469	0.006987054838451412	0.008067632899298904	0.00909099893213361	0.00919285553707061	0.009029932213566738	0.009952054414019917	0.010780114612236491	0.010854803535423896	0.010828624233003459	0.011700136696839891	0	0	0.0	0	0.01546082070922472	0.015783218177305547	0.01582764012545812	0.016597998586605267	0.09537768886651488	0.09733134345614625	0.09615702716901153	0.09743307383407751	0.18519537166759426	0.19095592146668394	0.1901948604802799	0.19156820425393328	0.006386086439821859	0.006261343972076006	0.005954319041741485	0.00707243710472405
nematode_0.007_8	0.007541163359972569	0.008277488412370193	0.00789877189716226	0.007516078426563544	0.008636336224870811	0.010002669550182475	0.0099192572443908	0.009673959248789443	0.010584804427898886	0.011873781660363902	0.011758670840581242	0.011602150840415937	0.012458792680478448	0.00029862004954961385	7.722810227484e-05	0	0.0	0.01667241406365927	0.01665596229648092	0.01672892774300061	0.017468757700044635	0.0982316940575565	0.10006143423719671	0.09937081959917982	0.10030898264577937	0.1886169782779098	0.19668640461126619	0.19619697875271003	0.19434837090240575	0.0072998195189514226	0.006997680357135216	0.006445848370446483	0.007605560962770319
nematode_0.01_1	0.009816817867237981	0.009678743227517494	0.009723585305613347	0.009449503276992566	0.010934388100671932	0.01156142221931622	0.011764287473015389	0.011627053192450942	0.012876396954808689	0.012950161073450595	0.0134687876687839	0.013393867961985606	0.014543313116557433	0.01500588194725394	0.015689879239796922	0.01546082070922472	0.01667241406365927	0.0	0	0	0.00023447022847078447	0.0959650343093773	0.09877228153597273	0.09759369743494284	0.09892245828056612	0.18165591229733313	0.1903806060382912	0.19009939431807044	0.18944866912526603	0.008824276786683516	0.00884307034607923	0.008309043045109155	0.010029085455264153
nematode_0.01_2	0.010045889973667177	0.010175369446609128	0.009954499067783451	0.009671927617491693	0.010981508739421275	0.011756806276593479	0.012063809155126393	0.011777722503040877	0.012899456032922307	0.013535790381200341	0.013800946003803327	0.013744335776773253	0.014758915078179058	0.015639268535440065	0.015785974185341	0.015783218177305547	0.01665596229648092	0	0.0	0	2.6329178504425066e-05	0.09814516025775655	0.10111181243074585	0.09980743230723477	0.10128237983552968	0.1862031448968382	0.19502949503933498	0.19433359790994664	0.1935411732985951	0.009181627607720455	0.009207726170487485	0.00854726178627585	0.010049984950655455
nematode_0.01_4	0.010389120510155392	0.01038770072429962	0.010233805888211656	0.010034151146624315	0.01110953338563736	0.011907579464414009	0.012163101695758072	0.011936455400735735	0.012943952915752788	0.013578517551738556	0.01382106218288126	0.01377351193641152	0.014760190630363157	0.01563518065547398	0.015905502066565602	0.01582764012545812	0.01672892774300061	0	0	0.0	0	0.09708154996065643	0.09938485499040994	0.09852379065320549	0.09946249592880596	0.18155769424580048	0.18979850744114557	0.1909002019251722	0.18971417071696095	0.009424177654828614	0.00922001042020626	0.008940647989885808	0.01014115171963803
