run_accession	fastq_galaxy	sample_accession	sample_alias
ERR9709148	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709148/ERR9709148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709148/ERR9709148_2.fastq.gz	SAMEA14369613	BAL_22_HER041b
ERR9709151	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709151/ERR9709151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709151/ERR9709151_2.fastq.gz	SAMEA14369616	BAL_22_HER042c
ERR9709156	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709156/ERR9709156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709156/ERR9709156_2.fastq.gz	SAMEA14369621	BAL_22_HER045b
ERR9709161	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709161/ERR9709161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709161/ERR9709161_2.fastq.gz	SAMEA14369626	BAL_22_HER046c
ERR9709162	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709162/ERR9709162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709162/ERR9709162_2.fastq.gz	SAMEA14369627	BAL_22_HER047a
ERR9709163	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709163/ERR9709163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709163/ERR9709163_2.fastq.gz	SAMEA14369628	BAL_22_HER047b
ERR9709164	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709164/ERR9709164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709164/ERR9709164_2.fastq.gz	SAMEA14369629	BAL_22_HER047c
ERR9709165	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709165/ERR9709165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709165/ERR9709165_2.fastq.gz	SAMEA14369630	BAL_22_HER047d
ERR9709168	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709168/ERR9709168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709168/ERR9709168_2.fastq.gz	SAMEA14369633	BAL_22_HER050
ERR9709169	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709169/ERR9709169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709169/ERR9709169_2.fastq.gz	SAMEA14369634	BAL_22_HER051a
ERR9709170	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709170/ERR9709170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709170/ERR9709170_2.fastq.gz	SAMEA14369635	BAL_22_HER051b
ERR9709176	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709176/ERR9709176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709176/ERR9709176_2.fastq.gz	SAMEA14369641	BAL_22_HER055b
ERR9709179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709179/ERR9709179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709179/ERR9709179_2.fastq.gz	SAMEA14369644	BAL_22_HER056c
ERR9709181	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709181/ERR9709181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709181/ERR9709181_2.fastq.gz	SAMEA14369646	BAL_22_HER056e
ERR9709186	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709186/ERR9709186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709186/ERR9709186_2.fastq.gz	SAMEA14369651	BAL_22_HER059c
ERR9709197	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709197/ERR9709197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709197/ERR9709197_2.fastq.gz	SAMEA14369662	BAL_22_HER118a
ERR9709201	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709201/ERR9709201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709201/ERR9709201_2.fastq.gz	SAMEA14369666	BAL_22_HER118e
ERR9709206	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709206/ERR9709206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709206/ERR9709206_2.fastq.gz	SAMEA14369672	BAL_22_M-HER006
ERR9709210	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709210/ERR9709210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709210/ERR9709210_2.fastq.gz	SAMEA14369676	BAL_22_M-HER010
