sample	unclassified-kra_ERR9709134_	unclassified-kra_ERR9709153_	unclassified-kra_ERR9709203_	unclassified-kra_ERR9709204_	unclassified-kra_ERR9709208_	unclassified-kra_ERR9709209_	unclassified-kra_ERR9709210_	unclassified-kra_ERR9709211_	unclassified-kra_ERR9709214_	unclassified-kra_ERR9709217_	unclassified-kra_ERR9709218_	unclassified-kra_ERR9709219_	unclassified-kra_ERR9709223_	unclassified-kra_ERR9709228_	unclassified-kra_ERR9709234_	unclassified-kra_ERR9709235_	unclassified-kra_ERR9709236_	unclassified-kra_ERR9709238_	unclassified-kra_ERR9709240_	unclassified-kra_ERR9709242_	unclassified-kra_ERR9709243_	unclassified-kra_ERR9709244_	unclassified-kra_ERR9709245_	unclassified-kra_ERR9709248_	unclassified-kra_ERR9709249_	unclassified-kra_ERR9709253_	unclassified-kra_SRR12106874_	unclassified-kra_SRR12106875_	unclassified-kra_SRR12106878_	unclassified-kra_SRR12106882_	unclassified-kra_SRR12106899_	unclassified-kra_SRR12106930_	unclassified-kra_SRR12106934_	unclassified-kra_SRR12106937_	unclassified-kra_SRR12106945_	unclassified-kra_SRR12106949_	unclassified-kra_SRR12106953_	unclassified-kra_SRR12106955_	unclassified-kra_SRR12106956_
unclassified-kra_ERR9709218_	0.08588259866419959	0.04154548793981863	0.003087153551970761	0.006088862257520559	0.006257072194530511	0.006286103082641538	0.0062755102648035955	0.006329675127865894	0.006394000930768426	0.00613842838623156	0.0	0.006070590960499318	0.003992045614970077	0.006352967933850422	0.006244835715212449	0.006323082877303321	0.0064272421495987445	0.006288355046733586	0.006204289997849522	0.006217576471959464	0.00623225879475774	0.006182109111075187	0.006177133797550297	0.006262634712227594	0.006488207932567917	0.006331200210692232	0.001981535325588124	0.001906421557801992	0.0027706131052572464	0	0.011038623278956244	0.0056602988113232545	0.0056691574508195616	0.0062293504655599324	0.00645827884944941	0.006371056945179155	0.005622931865445602	0.0012116954029382683	0.0011427876656388382
unclassified-kra_ERR9709219_	0.08563728974334209	0.041398440512642035	0.0028436598280004092	0.005935474453492854	0.0060874949056940846	0.006109257870972144	0.00608873049777169	0.006198654509828597	0.006294334778710005	0.006049037094922569	0.006070590960499318	0.0	0.0037121884101520043	0.006203465906417811	0.006118854028090449	0.006195372038599127	0.006340294263109676	0.006088576488636126	0.006106788385507652	0.006050295205909131	0.00605746656785794	0.006110692080809161	0.005974775337948923	0.006164911830639752	0.006330716468297873	0.006179828334779515	0.0020845109588930244	0.0019872691894624534	0.0027684880611972395	0	0.010850419709734431	0.005443791346632098	0.005407993480926905	0.006000109486081966	0.006359180928809965	0.006364332952090846	0.005380955257124814	0.0013003492649776328	0.0012089264381761004
unclassified-kra_ERR9709223_	0.08096206129969022	0.035747753433366516	0	0.0032571671956695943	0.00373772191761631	0.0040555495976487685	0.0037312361135138786	0.0036008579670303124	0.003694604197505531	0.004173695640131041	0.003992045614970077	0.0037121884101520043	0.0	0.00399382092925226	0.003903565794737529	0.003955985343483041	0.00383850990349898	0.003961923105248922	0.004017878216081075	0.004306882430592521	0.004249679515689358	0.0039959289343811134	0.003967152399450316	0.004319762837477525	0.0038106619143169714	0.0035876695441594752	0.0007064515370471316	0.0006218337436618909	0.0012879726695368254	0	0.008828559026852147	0.0029686543527018706	0.003038166928540722	0.0038560360027643297	0.004041454465386839	0.0041254069039703975	0.002947313889454456	0	0
unclassified-kra_ERR9709228_	0.08557486530917176	0.04141366971226438	0.0031036486203800374	0.006158635669734653	0.006275715641219894	0.00624074483654845	0.0063175006567115916	0.006321107436451772	0.006415890002837555	0.006349187675033945	0.006352967933850422	0.006203465906417811	0.00399382092925226	0.0	0.0062485831238333735	0.0063086879043835874	0.006430418596073189	0.006180610359076016	0.006343785930501576	0.006369540051819831	0.006421213222314964	0.006354317996976624	0.006297776035596676	0.006271825882992392	0.00641928253258175	0.006237581859653866	0.0019424655602977162	0.0018763925831098275	0.002738151144000278	0	0.011013467227619297	0.005603809436089025	0.00560431220400957	0.006200513206584603	0.006396165480633554	0.00633189156503737	0.005625924294341165	0.0012999477965737788	0.0011673075359019136
unclassified-kra_ERR9709234_	0.08527627136704444	0.04125264136419927	0.0030122226219288254	0.0059545416765634	0.006140603593414177	0.006141429757095864	0.0061481835606047	0.006220615125484379	0.006191980967229496	0.006269986777947885	0.006244835715212449	0.006118854028090449	0.003903565794737529	0.0062485831238333735	0.0	0.006174288678966767	0.006195618744838318	0.0060815058013566	0.006257050595521362	0.006274780768699013	0.006279184132379014	0.006240380726102026	0.006251482911171951	0.006172786075370078	0.006280671176939029	0.006110686526503853	0.0016158434326101205	0.0015406491789824908	0.0024700038775055276	0	0.010918128579298522	0.005572775694106182	0.005584011359858712	0.006083330157036553	0.006271110875557167	0.006206140942764386	0.005609367130381734	0.0008630987237946627	0.0007959224345816306
unclassified-kra_ERR9709235_	0.08511978670717361	0.04120691179524871	0.003109875261705438	0.006054726065795107	0.006293718378498632	0.006285719722928199	0.0062326591009896236	0.006289612346815814	0.0063221222916404075	0.0063667349317037955	0.006323082877303321	0.006195372038599127	0.003955985343483041	0.0063086879043835874	0.006174288678966767	0.0	0.006312822884699948	0.0061954477224688545	0.006313605024547862	0.006378380460394326	0.006377182184469024	0.006333090009167991	0.006329761063430665	0.006321564308707773	0.0064291626893270455	0.00620345977498237	0.0018282745740123363	0.001830768237940096	0.0026831019341392102	0	0.011051092451707094	0.005657154155687953	0.005738082377073982	0.006238019849107235	0.006414741974657318	0.006323816203806573	0.0056130200994924965	0.0011065373498625251	0.0010207482620351613
unclassified-kra_ERR9709236_	0.08515373175386767	0.04086330982054965	0.003080463842175869	0.0060651881060678325	0.0063282011603198966	0.006333517284610412	0.006346574525670851	0.0063225917304202415	0.006318770393569842	0.006559644477854003	0.0064272421495987445	0.006340294263109676	0.00383850990349898	0.006430418596073189	0.006195618744838318	0.006312822884699948	0.0	0.006297108880425872	0.006413834963601921	0.00654819863378696	0.006560474142135914	0.006418768315693128	0.006494878458740394	0.006457084808843729	0.006429115924625639	0.006221625454407305	0.0020742616713229287	0.001960757722504293	0.002869372718198278	0	0.011107425310826254	0.005767408449313233	0.005869594444806154	0.006332297511457411	0.00649903522248585	0.006368668081233212	0.0057403565911527815	0.00123156970985572	0.0011859955877899131
unclassified-kra_ERR9709238_	0.08500511933859926	0.04144533620016494	0.003066593328548312	0.005954940486981546	0.006200928575813881	0.006153560318888893	0.006180621250873262	0.00625053412318771	0.0062280267131064534	0.006293425469163286	0.006288355046733586	0.006088576488636126	0.003961923105248922	0.006180610359076016	0.0060815058013566	0.0061954477224688545	0.006297108880425872	0.0	0.006208400823759973	0.0063250072513834086	0.006317143001076657	0.006227490759036202	0.006273574245252771	0.006215308725505497	0.006296234370129956	0.006126316422671996	0.001693117838388225	0.00162131209281817	0.0025544461736289117	0	0.010950055821332402	0.005636173633745928	0.005572803518327133	0.006180211524675851	0.0063097012751766445	0.006202867134026378	0.005567984035042124	0.0009083440033190935	0.0008394203834913052
unclassified-kra_ERR9709240_	0.08565266459463423	0.04130124497342391	0.003162179519765498	0.006113491797604233	0.006268739180828958	0.006258420579272761	0.006272960313709387	0.006333549983986533	0.006372672243660269	0.00628312283173172	0.006204289997849522	0.006106788385507652	0.004017878216081075	0.006343785930501576	0.006257050595521362	0.006313605024547862	0.006413834963601921	0.006208400823759973	0.0	0.006262235731917585	0.006262574052513086	0.00624237365622627	0.006259208485081404	0.006320484010004715	0.006391166123698989	0.006279935703678233	0.0018681412767527798	0.0017378259986041166	0.0027030315232403003	0	0.01104615071878964	0.005731176481326894	0.005795647549076561	0.006291418229938319	0.006503238912184876	0.00638979863658109	0.005741203873623292	0.001058923896179364	0.0009963069026251974
unclassified-kra_ERR9709242_	0.08577709980682476	0.04169825163190964	0.003296361720530786	0.006230838427959179	0.006307263761403415	0.006327179151586385	0.006300014636969737	0.006408145256230137	0.006484264992775338	0.0062067836217406915	0.006217576471959464	0.006050295205909131	0.004306882430592521	0.006369540051819831	0.006274780768699013	0.006378380460394326	0.00654819863378696	0.0063250072513834086	0.006262235731917585	0.0	0.006188857682794406	0.006235717648668511	0.006219383888708637	0.006260055867362243	0.006519603369554417	0.006389766118301122	0.0016776974759997857	0.001632507310341941	0.002607279067188411	0	0.011011325245710288	0.005725992954127021	0.005713696441749564	0.006212263441057201	0.006474436463524438	0.006418933053960291	0.005679969394896131	0.0009930747279490683	0.0008933157716479606
unclassified-kra_ERR9709243_	0.08587162240840547	0.04166483063153339	0.0032432194297961404	0.006232341817504404	0.006362925291161132	0.006298398927287729	0.006346495696213723	0.00643155690666861	0.00652624185879493	0.006214994313378847	0.00623225879475774	0.00605746656785794	0.004249679515689358	0.006421213222314964	0.006279184132379014	0.006377182184469024	0.006560474142135914	0.006317143001076657	0.006262574052513086	0.006188857682794406	0.0	0.006295027214271181	0.0062235125849801134	0.006351469510567143	0.006595578782465727	0.006420401885396099	0.0018215257454949015	0.001690904266716989	0.002604578299489015	0	0.011072958090816177	0.005711626017278398	0.005705160522548324	0.006293607722259146	0.00651595660057552	0.006454643924114349	0.005663998326830856	0.0010418188084059946	0.0009783420116724543
unclassified-kra_ERR9709244_	0.08541658765566365	0.041221194860440215	0.003138739413820868	0.0061451646109147075	0.006280991503455052	0.006297412085606495	0.006259257363993034	0.006340957335508926	0.006364244571781691	0.00623618811889972	0.006182109111075187	0.006110692080809161	0.0039959289343811134	0.006354317996976624	0.006240380726102026	0.006333090009167991	0.006418768315693128	0.006227490759036202	0.00624237365622627	0.006235717648668511	0.006295027214271181	0.0	0.006187340541293964	0.006352522236078427	0.0063934110262467625	0.006304070025090411	0.001977313560095951	0.001875747552800543	0.002774422643965096	0	0.011124273236318875	0.005722811152971122	0.00573399962485833	0.006296367066947804	0.0064570538001006445	0.006380177006401873	0.005627805993271737	0.0011738564565537814	0.001122225913124476
unclassified-kra_ERR9709245_	0.08565516644185162	0.04167959982075772	0.0030452247099866906	0.006086015865643236	0.006219262432218491	0.006248519323921098	0.0062600579727848625	0.006343174976239701	0.0064264913770598585	0.0061581736590335286	0.006177133797550297	0.005974775337948923	0.003967152399450316	0.006297776035596676	0.006251482911171951	0.006329761063430665	0.006494878458740394	0.006273574245252771	0.006259208485081404	0.006219383888708637	0.0062235125849801134	0.006187340541293964	0.0	0.006237304291570506	0.006436102379683839	0.0063274086199231975	0.0022021956538661757	0.002054360578987397	0.0029182075400598123	0	0.010954689098259668	0.00561925054922661	0.00561642010482077	0.0062012527906855665	0.006436529541495222	0.006372480809615679	0.005549730299774543	0.001454698470775609	0.0013632863965775148
unclassified-kra_ERR9709248_	0.08565844540089178	0.0417709315828824	0.0032780795951985204	0.006211368226042088	0.00637918894306128	0.0061743999095743105	0.006301672980769175	0.006371733865040542	0.006435186181772809	0.0062676420445053	0.006262634712227594	0.006164911830639752	0.004319762837477525	0.006271825882992392	0.006172786075370078	0.006321564308707773	0.006457084808843729	0.006215308725505497	0.006320484010004715	0.006260055867362243	0.006351469510567143	0.006352522236078427	0.006237304291570506	0.0	0.006425796362429074	0.006296865311902145	0.001650778543384186	0.001626684679887798	0.002560402098199444	0	0.01104074085989995	0.0055846297434487815	0.005574876574934522	0.006168396683239045	0.0064166545198390875	0.006354202945154404	0.005654570371871033	0.0009946421252470634	0.0008877889984579264
unclassified-kra_ERR9709249_	0.08495013411611128	0.0410810360677866	0.0031569687403547016	0.006072961181728988	0.00633188048718096	0.006370092708868267	0.006379434257754637	0.00632935704564002	0.006343710225103509	0.006535624868585142	0.006488207932567917	0.006330716468297873	0.0038106619143169714	0.00641928253258175	0.006280671176939029	0.0064291626893270455	0.006429115924625639	0.006296234370129956	0.006391166123698989	0.006519603369554417	0.006595578782465727	0.0063934110262467625	0.006436102379683839	0.006425796362429074	0.0	0.006215830892041713	0.0021988954106156454	0.002044514583885444	0.0029337276369541037	0	0.011163977739585794	0.0058129160930669894	0.005870838090180198	0.0063839319635418	0.006556672020180062	0.006428494619251209	0.005833281786366558	0.001383120775559173	0.0013126986998571628
unclassified-kra_ERR9709253_	0.0849461009576668	0.040971410217175694	0.002795863015942769	0.005846431762171441	0.006127125784664239	0.006256081300137821	0.006198344939229172	0.006126536647560656	0.006172467939395899	0.006384174495052087	0.006331200210692232	0.006179828334779515	0.0035876695441594752	0.006237581859653866	0.006110686526503853	0.00620345977498237	0.006221625454407305	0.006126316422671996	0.006279935703678233	0.006389766118301122	0.006420401885396099	0.006304070025090411	0.0063274086199231975	0.006296865311902145	0.006215830892041713	0.0	0.0021283411455965363	0.0020365031727409594	0.002859157397120232	0	0.011044738037667031	0.00555970751070686	0.005582672496356885	0.006112848877148317	0.00634958075694903	0.006225492302348232	0.00558090893138456	0.0013325609925304393	0.0012658512680636396
unclassified-kra_SRR12106874_	0.08175604423551694	0.038204503090653624	0	0.0020962322569730452	0.0020821426505491856	0.001842337251387838	0.0021960319002172785	0.002229852486454369	0.002078328341193415	0.0019536724969315797	0.001981535325588124	0.0020845109588930244	0.0007064515370471316	0.0019424655602977162	0.0016158434326101205	0.0018282745740123363	0.0020742616713229287	0.001693117838388225	0.0018681412767527798	0.0016776974759997857	0.0018215257454949015	0.001977313560095951	0.0022021956538661757	0.001650778543384186	0.0021988954106156454	0.0021283411455965363	0.0	0	0	0	0.006373157289319619	0.0013973859138995445	0.00122994028232682	0.0017297452921944657	0.0017771744260798045	0.001649902869881776	0.0012557891040568007	0	0
unclassified-kra_SRR12106875_	0.08162234351347923	0.03811038311541901	0	0.002061082059889378	0.0019141024225842872	0.0016922213468073526	0.002016262390992313	0.002158028680553144	0.0019482940870515233	0.001865501579683963	0.001906421557801992	0.0019872691894624534	0.0006218337436618909	0.0018763925831098275	0.0015406491789824908	0.001830768237940096	0.001960757722504293	0.00162131209281817	0.0017378259986041166	0.001632507310341941	0.001690904266716989	0.001875747552800543	0.002054360578987397	0.001626684679887798	0.002044514583885444	0.0020365031727409594	0	0.0	0	0	0.006268167772647727	0.0013011605759768133	0.001238759333585262	0.001617291862056871	0.0016473669670838496	0.0015509392721673823	0.001215542900967812	0	0
unclassified-kra_SRR12106878_	0.08291841135393124	0.038509888192082814	0	0.0027677106757310922	0.0027513505589084183	0.0026620633099937382	0.0028825822583569863	0.002927988195019593	0.0028076901722714014	0.0026763619331936573	0.0027706131052572464	0.0027684880611972395	0.0012879726695368254	0.002738151144000278	0.0024700038775055276	0.0026831019341392102	0.002869372718198278	0.0025544461736289117	0.0027030315232403003	0.002607279067188411	0.002604578299489015	0.002774422643965096	0.0029182075400598123	0.002560402098199444	0.0029337276369541037	0.002859157397120232	0	0	0.0	0	0.007186408585997843	0.002045785810507938	0.002035271084022222	0.0024856960520296856	0.0025612495438802198	0.0024923990625945864	0.00201381117653494	0	0
unclassified-kra_SRR12106882_	0.07848890223623667	0.03467727191017903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0015848713797861084	0	0	0	0	0	0	0	0
unclassified-kra_SRR12106899_	0.09033873756883912	0.045835058138661386	0.007978164716791396	0.010919503871350312	0.01107035266024044	0.010976002113285147	0.010977727453386567	0.011138027813207056	0.011147393011210982	0.011031027038329325	0.011038623278956244	0.010850419709734431	0.008828559026852147	0.011013467227619297	0.010918128579298522	0.011051092451707094	0.011107425310826254	0.010950055821332402	0.01104615071878964	0.011011325245710288	0.011072958090816177	0.011124273236318875	0.010954689098259668	0.01104074085989995	0.011163977739585794	0.011044738037667031	0.006373157289319619	0.006268167772647727	0.007186408585997843	0.0015848713797861084	0.0	0.01030396771717001	0.01034021220051479	0.010859032317162707	0.01114616326491922	0.011041967032095224	0.010341720297305408	0.005539695963211899	0.005475839995748989
unclassified-kra_SRR12106930_	0.08498638799455785	0.04045561963626754	0.002046352689661369	0.005308401358870259	0.00557866365574247	0.0055490075637031795	0.00554041173954778	0.00553964985091091	0.005768866582124241	0.005619231497933542	0.0056602988113232545	0.005443791346632098	0.0029686543527018706	0.005603809436089025	0.005572775694106182	0.005657154155687953	0.005767408449313233	0.005636173633745928	0.005731176481326894	0.005725992954127021	0.005711626017278398	0.005722811152971122	0.00561925054922661	0.0055846297434487815	0.0058129160930669894	0.00555970751070686	0.0013973859138995445	0.0013011605759768133	0.002045785810507938	0	0.01030396771717001	0.0	0.004477660412900197	0.005188949483522086	0.005520832745144373	0.00565484284466037	0.004617903394650607	0.0007106131054742924	0.0005797334727441743
